review_id,change_id,review_revision,check_seq,check_type,target_id,status,actual_value,expected_value,blocking_yn,message,checked_date
REV-CHG-20260812-C4ABAC,CHG-20260812-C4ABAC,1,6,BOM_STRUCTURE,RULE-006,PASS,CF,CF,N,모든 모델에는 CF가 존재해야 합니다.,2026-08-12
REV-CHG-20260812-C4ABAC,CHG-20260812-C4ABAC,1,7,BOM_STRUCTURE,RULE-007,PASS,TFT,TFT,N,모든 모델에는 TFT가 존재해야 합니다.,2026-08-12
REV-CHG-20260812-C4ABAC,CHG-20260812-C4ABAC,1,8,LIFECYCLE,RULE-008,PASS,ALL_VALID,DISCONTINUED,N,단종 자재는 현재 유효 BOM에 사용할 수 없습니다.,2026-08-12
REV-CHG-20260812-C4ABAC,CHG-20260812-C4ABAC,1,9,APPROVAL,RULE-009,PASS,ALL_VALID,APPROVED|CONDITIONAL,N,미승인 또는 거절 자재는 사용할 수 없습니다.,2026-08-12
REV-CHG-20260812-C4ABAC,CHG-20260812-C4ABAC,1,10,SUPPLIER,RULE-010,CONDITIONAL,['9000-290004'],C,N,Grade C 공급사 자재는 추가 검토가 필요합니다.,2026-08-12
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,1,BOM_STRUCTURE,RULE-001,PASS,FA,FA,N,모든 모델에는 FA가 존재해야 합니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,2,BOM_STRUCTURE,RULE-002,PASS,OLB,OLB,N,모든 모델에는 OLB가 존재해야 합니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,3,BOM_STRUCTURE,RULE-003,PASS,CP,CP,N,모든 모델에는 CP가 존재해야 합니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,4,BOM_STRUCTURE,RULE-004,PASS,BIN,BIN,N,모든 모델에는 BIN이 존재해야 합니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,5,BOM_STRUCTURE,RULE-005,PASS,LC,LC,N,모든 모델에는 LC가 존재해야 합니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,6,BOM_STRUCTURE,RULE-006,PASS,CF,CF,N,모든 모델에는 CF가 존재해야 합니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,7,BOM_STRUCTURE,RULE-007,PASS,TFT,TFT,N,모든 모델에는 TFT가 존재해야 합니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,8,LIFECYCLE,RULE-008,PASS,ALL_VALID,DISCONTINUED,N,단종 자재는 현재 유효 BOM에 사용할 수 없습니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,9,APPROVAL,RULE-009,PASS,ALL_VALID,APPROVED|CONDITIONAL,N,미승인 또는 거절 자재는 사용할 수 없습니다.,2024-06-01
REV-CHG-20260813-245AB7,CHG-20260813-245AB7,1,10,SUPPLIER,RULE-010,PASS,ALL_VALID,C,N,Grade C 공급사 자재는 추가 검토가 필요합니다.,2024-06-01
